day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1,6,2012,33.5,39.4,18.8,0.0,87.4,24.7,132.2,12.6,34.6,25.9,fire,Bejaia
2,7,2012,36.4,66.7,15.3,0.0,88.2,30.7,151.3,11.2,42.9,26.8,fire,Bejaia
3,8,2012,31.1,44.8,21.1,0.6,85.2,22.0,117.9,13.6,31.7,28.2,fire,Bejaia
4,9,2012,42.0,48.9,12.4,0.0,91.1,45.6,181.1,11.2,52.9,30.9,fire,Bejaia
5,6,2012,35.7,63.1,11.7,0.6,82.8,30.9,148.0,11.5,42.1,27.4,fire,Bejaia
6,7,2012,33.4,64.5,7.7,0.1,85.9,26.3,128.0,12.8,33.3,27.7,fire,Bejaia
7,8,2012,23.6,50.0,15.8,0.9,84.4,12.6,64.5,11.5,18.9,16.9,not fire,Bejaia
8,9,2012,25.6,38.0,10.4,0.3,89.1,17.0,78.6,11.9,23.3,19.6,not fire,Bejaia
9,6,2012,34.3,45.1,13.2,0.0,88.1,31.3,131.9,12.1,39.5,28.2,fire,Bejaia
10,7,2012,35.3,53.5,12.9,0.1,85.3,27.0,131.0,10.4,36.6,21.6,not fire,Bejaia
11,8,2012,30.1,74.5,13.2,0.2,82.5,21.9,102.0,11.0,30.1,19.6,not fire,Bejaia
12,9,2012,34.2,58.6,12.0,0.2,87.2,27.5,136.0,11.8,40.1,27.0,fire,Bejaia
13,6,2012,26.9,57.7,16.1,0.3,87.5,18.1,101.3,11.0,24.8,18.0,not fire,Bejaia
14,7,2012,30.1,,18.2,,89.2,20.0,112.8,14.2,32.9,32.7,fire,Bejaia
15,8,2012,34.1,40.2,5.0,0.1,89.0,28.1,129.2,10.5,38.3,23.7,fire,Bejaia
16,9,2012,31.2,39.5,6.6,1.6,78.0,25.3,110.0,11.1,30.7,20.4,not fire,Bejaia
17,6,2012,27.2,44.1,25.6,1.0,84.1,12.7,95.3,14.4,21.6,23.4,fire,Bejaia
18,7,2012,28.7,61.7,12.7,0.5,81.4,20.0,112.5,11.5,28.6,22.0,not fire,Bejaia
19,8,2012,38.5,58.3,12.9,0.2,88.1,40.8,161.8,10.4,46.0,27.7,fire,Bejaia
20,9,2012,40.6,52.3,13.1,0.0,87.2,37.3,178.9,11.4,49.2,29.5,fire,Bejaia
21,6,2012,33.7,76.1,15.5,1.1,72.6,25.3,119.6,9.2,31.4,17.7,not fire,Bejaia
22,7,2012,36.6,35.1,15.2,0.0,93.0,32.1,146.9,14.3,42.3,33.0,fire,Bejaia
23,8,2012,31.2,44.6,13.9,0.8,84.9,19.5,114.3,12.1,33.9,27.5,fire,Bejaia
24,9,2012,27.7,50.7,7.7,2.7,68.6,14.9,77.0,8.1,16.2,10.3,not fire,Bejaia
25,6,2012,26.7,47.1,10.6,0.7,81.4,11.3,103.8,9.2,20.2,15.9,not fire,Bejaia
26,7,2012,42.0,37.4,13.2,0.0,95.1,39.2,180.0,13.8,51.4,33.0,fire,Bejaia
27,8,2012,31.3,34.4,13.8,0.0,92.6,23.5,121.8,14.0,32.7,29.3,fire,Bejaia
28,9,2012,32.3,55.0,11.4,0.0,88.8,32.9,136.2,12.3,38.6,26.7,fire,Bejaia
29,6,2012,38.0,58.9,17.4,0.0,90.3,37.1,148.9,12.4,45.1,30.9,fire,Bejaia
30,7,2012,30.5,53.4,13.7,0.0,92.2,16.2,111.3,12.8,27.0,23.3,fire,Bejaia
